Name,Japanese_name,Type,Episodes,Release_season,Rating
Fruits Basket the Final Season, Fruits Basket the Final,TV   ,13.0,Spring, Fantasy
Mo Dao Zu Shi 3, The Founder of Diabolism 3,Web  ,12.0,, Ancient China
Fullmetal Alchemist: Brotherhood, Hagane no Renkinjutsushi: Full Metal Alchemist,TV   ,64.0,Spring, Adventure
Attack on Titan 3rd Season: Part II, Shingeki no Kyojin Season 3: Part II,TV   ,10.0,Spring, Fantasy
Jujutsu Kaisen,,TV   ,24.0,Fall , Horror
Attack on Titan The Final Season, Shingeki no Kyojin The Final Season,TV   ,16.0,Winter, Drama
Haikyuu!! Karasuno High School vs Shiratorizawa Academy, Haikyuu!! Karasuno Koukou vs Shiratorizawa Gakuen Koukou,TV   ,10.0,Fall , Sports
Haikyuu!! Second Season,,TV   ,25.0,Fall , Sports
Demon Slayer: Kimetsu no Yaiba, Kimetsu no Yaiba,TV   ,26.0,Spring, Adventure
Hunter x Hunter (2011),,TV   ,148.0,Fall , Adventure
Haikyuu!! To the Top: Part II,,TV   ,12.0,Fall , Sports
Heaven Official's Blessing Special, Tian Guan Ci Fu Special,Web  ,1.0,, Romance
That Time I Got Reincarnated as a Slime Season 2, Tensei Shitara Slime Datta Ken Season 2,TV   ,12.0,Winter, Adventure
Given,,TV   ,11.0,Summer, Drama
Code Geass: Lelouch of the Rebellion R2, Code Geass: Hangyaku no Lelouch R2,TV   ,25.0,Spring, Sci Fi
Mo Dao Zu Shi 2, The Founder of Diabolism 2,Web  ,8.0,, Fantasy
Link Click, Shiguang Dailiren,Web  ,11.0,, Fantasy
Mob Psycho 100 II,,TV   ,13.0,Winter, Comedy
Haikyuu!! To the Top,,TV   ,13.0,Winter, Sports
Fruits Basket 2nd Season,,TV   ,25.0,Spring, Drama
The Promised Neverland, Yakusoku no Neverland,TV   ,12.0,Winter, Horror
That Time I Got Reincarnated as a Slime Season 2: Part II, Tensei Shitara Slime Datta Ken Season 2: Part II,TV   ,12.0,Summer, Adventure
Heaven Official's Blessing, Tian Guan Ci Fu,Web  ,11.0,, BL
Mushoku Tensei: Jobless Reincarnation - Part II, Mushoku Tensei: Isekai Ittara Honki Dasu - Part II,TV   ,12.0,Fall , Adventure
Gintama.: Shirogane no Tamashii-hen 2, Gintama: Silver Soul Arc 2,TV   ,14.0,Summer, Comedy
Clannad After Story,,TV   ,24.0,Fall , Romance
Mo Dao Zu Shi, The Founder of Diabolism,Web  ,15.0,, Adventure
Gintama': Enchousen,,TV   ,13.0,Fall , Comedy
Banana Fish,,TV   ,24.0,Summer, Drama
Douluo Dalu 2, Soul Land 2,Web  ,16.0,, Fantasy
Gintama.,,TV   ,12.0,Winter, Comedy
Gintama.: Shirogane no Tamashii-hen, Gintama: Silver Soul Arc,TV   ,12.0,Winter, Comedy
Attack on Titan 3rd Season, Shingeki no Kyojin 3rd Season,TV   ,12.0,Summer, Fantasy
Steins;Gate,,TV   ,24.0,Spring, Conspiracy
Haikyuu!!,,TV   ,25.0,Spring, Sports
Gintama',,TV   ,51.0,Spring, Comedy
One-Punch Man,,TV   ,12.0,Fall , Comedy
Gintama°,,TV   ,51.0,Spring, Comedy
Natsume's Book of Friends Season 6, Natsume Yuujinchou Roku,TV   ,11.0,Spring, Fantasy
JoJo's Bizarre Adventure: Golden Wind, JoJo no Kimyou na Bouken: Ougon no Kaze,TV   ,39.0,Fall , Adventure
JoJo's Bizarre Adventure: Stone Ocean, Jojo no Kimyou na Bouken: Stone Ocean,Web  ,12.0,Fall , Adventure
Vinland Saga,,TV   ,24.0,Summer, Seinen
Natsume's Book of Friends Season 4, Natsume Yuujinchou Shi,TV   ,13.0,Winter, Shoujo
Assassination Classroom 2nd Season, Ansatsu Kyoushitsu 2nd Season,TV   ,25.0,Winter, Comedy
Natsume's Book of Friends Season 5, Natsume Yuujinchou Go,TV   ,11.0,Fall , Shoujo
My Hero Academia 3, Boku no Hero Academia 3,TV   ,25.0,Spring, Comedy
Violet Evergarden,,TV   ,13.0,Winter, Lifestyle Change
That Time I Got Reincarnated as a Slime, Tensei Shitara Slime Datta Ken,TV   ,24.0,Fall , Adventure
My Hero Academia 2, Boku no Hero Academia 2,TV   ,25.0,Spring, Comedy
SK8 the Infinity,,TV   ,12.0,Winter, Sports
Hajime no Ippo: The Fighting!, Fighting Spirit,TV   ,75.0,Fall , Drama
Code Geass: Lelouch of the Rebellion, Code Geass: Hangyaku no Lelouch,TV   ,25.0,Fall , Sci Fi
JoJo’s Bizarre Adventure: Stardust Crusaders - Battle in Egypt, JoJo no Kimyou na Bouken: Stardust Crusaders - Egypt-hen,TV   ,24.0,Winter, Adventure
Yona of the Dawn: Zeno Arc, Akatsuki no Yona: Zeno Arc,OVA  ,2.0,, Adventure
JoJo's Bizarre Adventure: Diamond is Unbreakable, JoJo no Kimyou na Bouken: Diamond wa Kudakenai,TV   ,39.0,Spring, Mystery
Kamisama Kiss: Kako-hen, Kamisama Hajimemashita: Kako-hen,OVA  ,4.0,, Romance
Hajime no Ippo: New Challenger, Fighting Spirit: New Challenger,TV   ,26.0,Winter, Drama
Mushishi Zoku Shou 2nd Season, Mushishi -Next Passage- 2nd Season,TV   ,10.0,Fall , Seinen
Attack on Titan, Shingeki no Kyojin,TV   ,25.0,Spring, Fantasy
Haikyuu!! Tokushuu! Harukou Volley ni Kaketa Seishun,,OVA  ,1.0,, Sports
Kaguya-sama: Love Is War?, Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,TV   ,12.0,Spring, Drama
Gintama: Porori-hen, Gintama: Slip Arc,TV   ,13.0,Fall , Comedy
March Comes in like a Lion 2nd Season, 3-gatsu no Lion 2nd Season,TV   ,22.0,Fall , Seinen
Natsume's Book of Friends Season 3, Natsume Yuujinchou San,TV   ,13.0,Summer, Shoujo
Attack on Titan 2nd Season, Shingeki no Kyojin 2nd Season,TV   ,12.0,Spring, Fantasy
Mushishi Zoku Shou, Mushishi -Next Passage-,TV   ,10.0,Spring, Seinen
Kuroko's Basketball 3, Kuroko no Basket 3,TV   ,25.0,Winter, Sports
Dr. Stone,,TV   ,24.0,Summer, Comedy
Attack on Titan: No Regrets, Shingeki no Kyojin: Kuinaki Sentaku,OVA  ,2.0,, Fantasy
Horimiya,,TV   ,13.0,Winter, Romance
Cowboy Bebop,,TV   ,26.0,Spring, Adventure
The Disastrous Life of Saiki K. 2nd Season, Saiki Kusuo no Psi Nan 2nd Season,TV   ,24.0,Winter, Shounen
Monogatari Series: Second Season,,TV   ,26.0,Summer, Comedy
Castlevania Season 4,,Web  ,10.0,Spring, Adventure
ERASED, Boku dake ga Inai Machi,TV   ,12.0,Winter, Mystery
The Rising of the Shield Hero, Tate no Yuusha no Nariagari,TV   ,25.0,Winter, Adventure
To Your Eternity, Fumetsu no Anata e,TV   ,20.0,Spring, Drama
Hajime no Ippo: Rising, Fighting Spirit: Rising,TV   ,25.0,Fall , Drama
Made in Abyss,,TV   ,13.0,Summer, Drama
Rurouni Kenshin: Tsuiokuhen, Rurouni Kenshin: Trust & Betrayal,OVA  ,4.0,, Romance
Descending Stories: Shouwa Genroku Rakugo Shinjuu, Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,TV   ,12.0,Winter, Josei
Mo Dao Zu Shi Q, The Founder of Diabolism Q,Web  ,30.0,, Ancient China
Natsume's Book of Friends Season 2, Zoku Natsume Yuujinchou,TV   ,13.0,Winter, Shoujo
Fruits Basket 1st Season,,TV   ,25.0,Spring, Drama
Dr. Stone: Stone Wars,,TV   ,11.0,Winter, Comedy
My Hero Academia 4, Boku no Hero Academia 4,TV   ,25.0,Fall , Drama
Great Teacher Onizuka,,TV   ,43.0,Summer, Drama
Your lie in April, Shigatsu wa Kimi no Uso,TV   ,22.0,Fall , Romance
Bungo Stray Dogs 3rd Season,,TV   ,12.0,Spring, Mystery
Kamisama Kiss 2nd Season, Kamisama Hajimemashita◎,TV   ,12.0,Winter, Fantasy
Mob Psycho 100,,TV   ,12.0,Summer, Comedy
Kuroko's Basketball 2, Kuroko no Basket 2,TV   ,25.0,Fall , Sports
Odd Taxi,,TV   ,13.0,Spring, Mystery
Death Note,,TV   ,37.0,Fall , Shounen
Moriarty the Patriot 2nd Season, Yuukoku no Moriarty 2nd Season,TV   ,13.0,Spring, Shounen
Kingdom 3,,TV   ,26.0,Spring, Drama
One Piece,,TV   ,100.0,Fall , Adventure
Tokyo Revengers,,TV   ,24.0,Spring, Drama
Fate/Zero 2,,TV   ,12.0,Spring, Fantasy
My Hero Academia, Boku no Hero Academia,TV   ,13.0,Spring, Comedy
Yuri!!! on Ice,,TV   ,12.0,Fall , Sports
Dou Po Cangqiong: San Nian Zhi Yao, Battle Through the Heavens: San Nian Zhi Yao,Web  ,12.0,, Fantasy
Dororo (2019),,TV   ,24.0,Winter, Adventure
Bunny Drop, Usagi Drop,TV   ,11.0,Summer, Josei
Bakuman. 3,,TV   ,25.0,Fall , Shounen
The Disastrous Life of Saiki K., Saiki Kusuo no Psi Nan,TV   ,120.0,Summer, Shounen
Given: Uragawa no Sonzai,,OVA  ,1.0,, Based on a Manga"
Miss Kobayashi's Dragon Maid S, Kobayashi-san Chi no Maid Dragon S,TV   ,12.0,Summer, Fantasy
Kono Oto Tomare! 2nd Season,,TV   ,13.0,Fall , Romance
Overlord III,,TV   ,13.0,Summer, Fantasy
Re:ZERO -Starting Life in Another World- Season 2: Part II, Re:Zero Kara Hajimeru Isekai Seikatsu Season 2: Part II,TV   ,12.0,Winter, Adventure
Laid-Back Camp 2nd Season, Yuru Camp 2nd Season,TV   ,13.0,Winter, Comedy
Hellsing Ultimate,,OVA  ,10.0,, Horror
Parasyte -the maxim-, Kiseijuu: Sei no Kakuritsu,TV   ,24.0,Fall , Drama
Ouran High School Host Club, Ouran Koukou Host-bu,TV   ,26.0,Spring, Reverse Harem
Food Wars! The Second Plate, Shokugeki no Souma: Ni no Sara,TV   ,13.0,Summer, Ecchi
Ghost in the Shell: Stand Alone Complex 2nd Gig, Koukaku Kidoutai: Stand Alone Complex 2nd Gig,TV   ,26.0,Winter, Seinen
Barakamon,,TV   ,12.0,Summer, Shounen
Noragami Aragoto,,TV   ,13.0,Fall , Drama
Ace of the Diamond: Act II, Diamond no Ace: Act II,TV   ,52.0,Spring, Sports
Re:ZERO -Starting Life in Another World- Season 2, Re:Zero Kara Hajimeru Isekai Seikatsu Season 2,TV   ,13.0,Summer, Adventure
Ascendance of a Bookworm: Part II, Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen: Part II,TV   ,12.0,Spring, Fantasy
Quanzhi Gaoshou: Tebie Pian, The King's Avatar SP,OVA  ,3.0,, Drama
Steins;Gate 0,,TV   ,23.0,Spring, Mystery
Golden Kamuy Season 3,,TV   ,12.0,Fall , Adventure
Dou Po Cangqiong 4th Season, Battle Through the Heavens 4th Season,Web  ,24.0,, Fantasy
School Babysitters, Gakuen Babysitters,TV   ,12.0,Winter, Drama
Douluo Dalu, Soul Land,Web  ,26.0,, Fantasy
Major Season 5,,TV   ,25.0,Winter, Shounen
Bungo Stray Dogs 2nd Season,,TV   ,12.0,Fall , Mystery
Mushishi,,TV   ,26.0,Fall , Seinen
Food Wars! The Third Plate, Shokugeki no Souma: San no Sara,TV   ,12.0,Fall , Ecchi
Tengen Toppa Gurren Lagann, Gurren Lagann,TV   ,27.0,Spring, Adventure
Kamisama Kiss, Kamisama Hajimemashita,TV   ,13.0,Fall , Fantasy
Moriarty the Patriot, Yuukoku no Moriarty,TV   ,11.0,Fall , Shounen
Kaguya-sama: Love Is War, Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,TV   ,12.0,Winter, Drama
Food Wars! Shokugeki no Souma, Shokugeki no Souma,TV   ,24.0,Spring, Ecchi
Mushoku Tensei: Jobless Reincarnation, Mushoku Tensei: Isekai Ittara Honki Dasu,TV   ,11.0,Winter, Adventure
Snow White with the Red Hair 2nd Season, Akagami no Shirayuki-hime 2nd Season,TV   ,12.0,Winter, Fantasy
JoJo's Bizarre Adventure: Stardust Crusaders, JoJo no Kimyou na Bouken: Stardust Crusaders,TV   ,24.0,Spring, Adventure
Natsume Yuujinchou: Itsuka Yuki no Hi ni, Natsume's Book of Friends: Itsuka Yuki no Hi ni,OVA  ,1.0,, Shoujo
No Game No Life,,TV   ,12.0,Spring, Ecchi
Chihayafuru 2,,TV   ,25.0,Winter, Josei
Legend of the Galactic Heroes, Ginga Eiyuu Densetsu,OVA  ,11.0,, Sci Fi
The Quintessential Quintuplets 2, 5-toubun no Hanayome ∬,TV   ,12.0,Winter, Drama
Black Butler: Book of Murder, Kuroshitsuji: Book of Murder,OVA  ,2.0,, Shounen
Food Wars! The Third Plate: Totsuki Train Arc, Shokugeki no Souma: San no Sara - Toutsuki Ressha,TV   ,12.0,Spring, Ecchi
Anohana: The Flower We Saw That Day, Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,TV   ,11.0,Spring, Romance
Gintama: Aizome Kaori-hen,,OVA  ,2.0,, Comedy
Fate/stay night: Unlimited Blade Works 2,,TV   ,13.0,Spring, Fantasy
Hunter x Hunter OVA 3: Greed Island Final,,OVA  ,14.0,, Adventure
Kuroko's Basketball, Kuroko no Basket,TV   ,25.0,Spring, Sports
Naruto Shippuden,,TV   ,500.0,Winter, Drama
Maid-sama!, Kaichou wa Maid-sama!,TV   ,26.0,Spring, Romance
Fairy Tail: Final Season,,TV   ,51.0,Fall , Adventure
Scissor Seven 3rd Season, Cike Wu Liuqi 3rd Season,Web  ,10.0,, Comedy
Fairy Tail 2,,TV   ,102.0,Spring, Adventure
Chihayafuru 3,,TV   ,24.0,Fall , Josei
Haikyuu!! Riku vs Kuu," Haikyuu!! Land vs. Air & The ""Path"" of the Ball",OVA  ,2.0,, Sports
Bakuman. 2,,TV   ,25.0,Fall , Shounen
Spice and Wolf II, Ookami to Koushinryou 2,TV   ,12.0,Summer, Drama
